ticker;ISIN;nom
ALGLD;FR0011208693;Gold by Gold
ALMET;FR0011217710;Methanor
ALGEP;FR0011289198;Global Ecopower
ALSPW;FR0011398874;Spineway
GAUBS;FR0011462803;Gaussin BSAR
ALSGD;FR0011464452;Spineguard
ALESA;FR0011490648;Ecoslops
ALICR;FR0011511971;I.Ceram
ALDR;FR0011522168;Delta Drone
ALVGO;FR0011532225;Vogo
ALMND;FR0011584549;Mnd
ALNLF;FR0011636083;Neolife
ALCRB;FR0011648716;Carbios
ALQGC;FR0011648971;Quantum Genomics
ALFST;FR0011651819;Technofirst
ALCJ;FR0011716265;Crossject
ALONC;FR0011766229;Oncodesign
ALREA;FR0011858190;Realites
ALUCI;FR0011884378;Lucibel
ALUVI;FR0011898584;Uv Germi
ALANV;FR0011910652;Anevia
ALENE;FR0011915339;Enertime
ODIBS;FR0011928407;O2i BSAAR 2019
EURBT;FR0012160661;Europlasma BSB
ALOCA;FR0012407096;Oceasoft
ALFOC;FR0012419307;Focus Home Interactive
ALSEN;FR0012596468;Sensorion
ALUNT;FR0012709160;Uniti
ALCOR;FR0012788065;Biocorp
ALBPS;FR0012816825;Biophytis
ALGIL;FR0012819381;Groupe Guillin
ALPOU;FR0013015583;Poulaillon
ALMLB;FR0013053535;Miliboo
ALIMR;FR0013060100;Immersion
ALDBT;FR0013066750;DBT
ALWEC;FR0013079092;We.Connect
ALDRV;FR0013088606;Drone Volt
ALWIT;FR0013143872;Witbe
ALKLK;FR0013156007;Kerlink
ALPCV;FR0013178712;Cerinnov group
GAUBT;FR0013186061;Gaussin BSA
ALPAR;FR0013204070;Groupe Parot
ALCYB;FR0013204351;Cybergun
ALHSW;FR0013219367;Horizontal Software
COGBS;FR0013220530;Cogra 48 BSAR
ALOSM;FR0013231180;Osmozis
ALERS;FR0013240934;Eurobio-Scientific
ALEBS;FR0013245123;Emova BS
ALABS;FR0013247228;Adomos BS
ALADO;FR0013247244;Adomos
ALVAL;FR0013254851;Valbiotis
ALECR;FR0013256518;Eurofins Cerep
ALCOF;FR0013257409;Cofidur
ALTBS;FR0013260973;Theradiag BSAR
ALUMS;FR0013263878;Umanis
O2IBS;FR0013268042;O2i BSA
ANVBS;FR0013268091;Anevia BS
ALMII;FR0013270626;M2I
QGCBT;FR0013274545;Quangen BSA27JAN20
ALARF;FR0013284627;Adeunis
ALTHX;FR0013286259;Theranexus
ALCES;FR0013297165;Cesar
ALORD;FR0013318052;Ordissimo
ALOXA;FR0013328184;Oxatis
ALNN6;FR0013330792;Enensys Technologies
ALDNE;FR0013331212;Dontnod Entertainment
ALTUV;FR0013345493;Bio UV Group
ALS30;FR0013379484;Solutions 30
ALBKK;FR0013384369;Baikowski
ALCUR;FR0013398997;Arcure
ALMAR;FR0013400835;Mare Nostrum
ALDSJ;FR0013400983;Delta Drone BSA J
ALAMG;FR0013410370;Auplata Mining Gr
ALGTR;FR0013429404;Groupe Tera
ALHGR;FR0013451044;Hoffmann Green Cement Tech.
ALAGP;FR0013452281;Agripower
ALMUN;FR0013462231;Munic
ALSAF;FR0013467123;Safe Orthopaedics
ALPAU;FR0013479730;Paulic Meunerie
ALOSP;GB00B2R1Q018;Ospreyfranck
ALMTH;IT0004615396;Methorios Capital
ALMBG;IT0005119109;Mybest Group
ALEAC;IT0005351504;Ediliziacrobatica
ALSEI;IT0005353484;Seif SPA
ALKER;IT0005380438;Media Maker SPA
ALNOX;NL0012044762;Noxxon
ALPER;NL0012191662;La Perla Fashion Holding
8794S;LU1247945287;Call INTEL - 33,00e 09/2106
C575S;LU1248638303;Call CAC 40 - 4500,00e 12/2020
C576S;LU1248638485;Call CAC 40 - 5000,00e 12/2020
C577S;LU1248638568;Call CAC 40 - 5400,00e 12/2020
C578S;LU1248638642;Call CAC 40 - 5800,00e 12/2020
C580S;LU1248638998;Call CAC 40 - 6500,00e 12/2020
C581S;LU1248639020;Put CAC 40 - 3000,00e 12/2020
C582S;LU1248639293;Put CAC 40 - 3500,00e 12/2020
C583S;LU1248639376;Put CAC 40 - 4000,00e 12/2020
C585S;LU1248639533;Put CAC 40 - 5000,00e 12/2020
5334S;LU1251353311;Call CAC 40 - 3500,00e 12/2020
MLGES;BE0948833760;Green Energy 4 Seasons
MLMIB;BE0974328602;Metrics in Balance
MLV4S;BE6201089735;LV4S
MLMFI;BE6252013725;Condor Technolog
MLSKL;CA38055V2049;Skill Gaming Inc.
MLABC;CH0044947239;ABC Orthodontics
MLFIR;CH0120879058;Firstcaution
MLSHD;CH0220529603;Scandinavian House Development
MLMLT;CH0221173120;Ml Trading AG
MLOVE;CH0299791381;4Service Cloud Tech AG
MLBAM;CH0309050059;Wee.com AG
MLGML;CH0342399851;Gour Medical
MLPRO;DE000A0JCXG4;Protektus AG
MLWRC;ES0105399002;Whiteni R Cajal Socimi
MLMAQ;ES0105447009;Maq Admon. Urbanas
MLPLC;FR0000030769;Placoplatre
MLTRO;FR0000031106;Troc Ile
MLTRA;FR0000031866;Tramways de Rouen
MLTEA;FR0000033466;Team
MLLEM;FR0000034779;Lecteurs Monde
MLROU;FR0000035750;Rousselet Centrif.
MLCFD;FR0000037871;Ch.Fer Departement
MLEVE;FR0000044745;Everset
MLCVG;FR0000051567;Ch.Fer Var Gard N.
MLEDS;FR0000052755;Editions Du Signe
MLDYN;FR0000052920;Dynafond
MLGAI;FR0000053415;G.A.I.
MLHOT;FR0000053738;Hotelim
MLCTA;FR0000054066;Cta Holding
MLSRP;FR0000054371;Speed Rabbit Pizza
MLPGO;FR0000057895;PGO Automobiles
MLGEO;FR0000057945;Georex Prov.Regpt
MLCMB;FR0000060428;Cie Du Mont Blanc
MLMAB;FR0000061657;Mais.Antoine Baud
MLSTR;FR0000063976;Streit Industries
MLPOL;FR0000064644;Pol Roger
MLIMP;FR0000065773;Imprimerie Chirat
MLSIC;FR0000066797;Financiere Sicomax
MLSEC;FR0000071755;Securinfor
MLTRC;FR0000076481;Trois Chenes
MLGRC;FR0000076960;Carnivor (Groupe)
MLGRD;FR0000077232;Galloo Ile-de-France
MLCNT;FR0000077828;Consort Nt
MLDAM;FR0000077885;Damaris
MLPAC;FR0000077992;Pacte Novation
MLCHP;FR0000079477;Christian Potier
MLIDS;FR0000079691;Ids
MLDIG;FR0000079824;Digitech
MLWTT;FR0000184822;WT
MLNOV;FR0000185464;Novatech Ind.
MLPHW;FR0000185480;Phone Web
MLPFX;FR0000185928;Parfex
MLSIM;FR0004038818;Simo International
MLKRI;FR0004152700;Krief Group
MLLOI;FR0004155208;Locasystem Intl
MLNEO;FR0004157543;Neocom Multimedia
MLONL;FR0004174712;Onlineformapro
MLSBT;FR0004175222;Sbt
MLDTB;FR0004177939;Datbim
MLCOL;FR0004185023;Collectors
MLFRC;FR0004260479;France Chauffage
MLCOU;FR0004998318;Courbet
MLARD;FR0005057635;Ardoin St Amand A
MLEAU;FR0005142999;Eaux De Douai
MLEST;FR0005310463;Est Republicain
MLUMH;FR0005783503;Uni.Metalg.Ht-Sei.
MLHYE;FR0005843125;Hydro-Exploit.
MLVER;FR0006174496;Verney Carron
MLCAC;FR0006205019;Lombard et Medot
MLHMC;FR0006226791;Hot.Majestic Canne
MLFMM;FR0006321998;Martin Maurel(fin)
MLHIN;FR0006563904;Hotl.Immob.Nice
MLHOP;FR0006823092;Part.Indles Mini.
MLIPP;FR0006859039;Imm.Paris.Perle
MLEDR;FR0007200100;Eaux De Royan
MLTDS;FR0007261425;Thermes De Saujon
MLVIS;FR0010033480;Visio Nerf
MLCOR;FR0010035816;Corep Lighting
MLRAM;FR0010038570;Raphael Michel S A
MLATV;FR0010050773;A Toute Vitesse
MLFER;FR0010071530;Ferco Dev.
MLIML;FR0010086371;Imalliance
MLONE;FR0010106039;Body One
MLGLO;FR0010108688;Global Interface
MLERO;FR0010157115;Euroland Corporate
MLOLM;FR0010176115;Olmix
MLHPE;FR0010312181;Hopening
MLMAD;FR0010328302;Made
MLNEI;FR0010358507;Newsinvest
MLBAT;FR0010436170;Batla Minerals
MLCHE;FR0010447086;Cheops Technology
MLFCI;FR0010480517;Financiere Croissance Inv.
MLSOL;FR0010480533;Solia
MLFXO;FR0010487272;Finaxo
MLETA;FR0010492181;Metalliance
MLNMA;FR0010500363;Miguet et Associes Regr.
MLARI;FR0010518605;Silkan Rt
MLSIL;FR0010679365;Silc
MLWEA;FR0010688465;Weaccess Group
MLCEC;FR0010717579;Cecurity
MLACP;FR0010762740;Acep France
MLWEY;FR0010768770;Weya
MLAMY;FR0010772426;Arthur Maury
MLDEX;FR0010776658;Debflex
MLIPY;FR0010777680;Ipernity
MLAAE;FR0010781377;Caire
MLFTI;FR0010823724;France Tourisme
MLMGL;FR0010827741;Magillem Design Services
MLMON;FR0010882886;Monfinancier
MLLEA;FR0010921163;Leaderlease
MLART;FR0010923433;Artsnet
MLEES;FR0010945733;EES
MLCLP;FR0010959684;Colipays
MLCMI;FR0010972091;Scemi
MLMNR;FR0010976746;MNR Group
MLACT;FR0010979377;Activium Group
MLPSH;FR0011040690;Tpsh
MLVST;FR0011076595;Televista
MLSML;FR0011131788;Smalto
MLIFC;FR0011158823;Infoclip
MLLED;FR0011421817;Novaday
MLJAN;FR0011442235;Jane France
MLVIN;FR0011605617;Fonciere Vindi
MLEMG;FR0011612837;Eon Motors Group
MLUMG;FR0011776889;Umalis Group
MLAUD;FR0011896463;Audience Labs
MLAGI;FR0011908045;AG3i
MLUSG;FR0012060036;Universal System Group
MLDHZ;FR0012222149;DataHertz
MLFDV;FR0012300424;Franck Deville
MLGEL;FR0012336675;D2L Group
MLHCF;FR0012336691;Home Concept France
MLCIO;FR0012384907;CIOA
ML350;FR0012395457;AS Rapido Pret
MLPPF;FR0012735355;Point Parfums
MLCCL;FR0012807352;Compagnie Coloniale
MLVAL;FR0012833770;Valoneo
MLITG;FR0012880482;Integral
MLAEM;FR0012968485;Ashler et Manson
MLMUL;FR0012990968;Mulann
MLCMG;FR0012991040;Cie Miniere Grecemar
MLSTM;FR0013063559;Steam France
MLOSA;FR0013072741;O Sorbet d'Amour
MLBRI;FR0013110053;Brico-distribution
MLSDN;FR0013155975;La savonnerie de Nyons
MLUTP;FR0013180189;Un toit pour toi
MLARO;FR0013182235;Aroma Celte
MLMMC;FR0013230067;Multimicrocloud
MLAHC;FR0013251584;Health
MLALV;FR0013253812;Alveen
MLOEX;FR0013266772;One Experience
MLAIM;FR0013285103;Air Marine
MLOCT;FR0013310281;Octopus Robots
MLBSP;FR0013340973;Blue Shark Power System
MLNAT;FR0013344223;Nature et Logis
MLVAP;FR0013419876;Kumulus Vape
MLSUM;GB00B8GJBS16;Sumo Resources
MLSKN;GB00B92JR174;Microskin Plc
MLION;HK0000038429;Lionax
MLEAS;HK0000038783;Easson Telecom
MLVES;HK0000041928;Vestasia Limited
MLCSP;HK0000043510;China Super Power
MLTMT;HK0000058161;China Treasure Mine
MLEBX;IT0004999758;Essere Benessere
MLHTT;IT0005071664;Hightel Towers
MLLB;IT0005072035;Luigi Botto
MLSNT;IT0005072167;Sintesie
MLSMP;IT0005072811;Semplicemente
MLDWC;IT0005154635;DWC 3.0
MLLAB;IT0005324105;Media Lab
MLITN;IT0005336521;Italy Innovazioni
MLIRF;IT0005391161;Innovative Rfk
MLDYX;LU0881232630;Dynex Energy
MLMHO;LU1179353617;Mandalore Holding
MLGDI;LU1840650458;Guandao Puer Inves
MLAAH;NL0010273694;Amatheon Agri
MLSEQ;NL0010623518;Sequa Petroleum
MLPRX;NL0012650535;Parx Plastics
MLAAT;PTAZR0AM0006;Azorean Aquatic Technologies SA
MLGEQ;PTGVE1AE0009;Gentlemen’s Equity SA
MLDYH;SE0007045380;Design Your Home
MLDUR;ZAE000058723;DRDGold
MLZAM;ZM0000000037;Zambia Cons. Cat. B
SLB;AN8068571086;Schlumberger
LHN;CH0012214059;LafargeHolcim
NOKIA;FI0009000681;Nokia
AF;FR0000031122;Air France - KLM
VIRP;FR0000031577;Virbac
ROTH;FR0000031684;Rothschild & Co
VCT;FR0000031775;Vicat
ALTA;FR0000033219;Altarea
FLY;FR0000033409;Fonciere Lyonnaise
ALT;FR0000034639;Altran Techn.
ICAD;FR0000035081;Icade
ERF;FR0000038259;Eurofins Scient.
RBT;FR0000039091;Robertet
BOL;FR0000039299;Bollore
NEX;FR0000044448;Nexans
GDS;FR0000044471;Ramsay Generale De Sante
ACA;FR0000045072;Credit Agricole
FII;FR0000050353;Lisi
SOP;FR0000050809;Sopra Steria Group
ATO;FR0000051732;Atos
TEP;FR0000051807;Teleperformance
RMS;FR0000052292;Hermes
RIN;FR0000052516;Vilmorin Cie
XPO;FR0000052870;XPO Logistics
MMT;FR0000053225;Metropole Tv
UBI;FR0000054470;Ubisoft Entertainment
TFI;FR0000054900;Tf1
COVH;FR0000060303;Covivio Hotels
BUR;FR0000061137;Burelle
ODET;FR0000062234;Financiere Odet
STF;FR0000064271;STEF
COV;FR0000064578;Covivio
FFP;FR0000064784;FFP
ATE;FR0000071946;Alten
SAF;FR0000073272;Safran
IPS;FR0000073298;Ipsos
DEC;FR0000077919;Jc Decaux Sa.
AI;FR0000120073;Air Liquide
CA;FR0000120172;Carrefour
CNP;FR0000120222;Cnp Assurances
FP;FR0000120271;Total
OR;FR0000120321;L'oreal
VK;FR0000120354;Vallourec
AC;FR0000120404;Accor Hotels
EN;FR0000120503;Bouygues
SAN;FR0000120578;Sanofi
CS;FR0000120628;Axa
BN;FR0000120644;Danone
KN;FR0000120685;Natixis
RI;FR0000120693;Pernod Ricard
NK;FR0000120859;Imerys
BB;FR0000120966;Bic
MC;FR0000121014;Lvmh
RF;FR0000121121;Eurazeo
EO;FR0000121147;Faurecia
MF;FR0000121204;Wendel Invest.
SW;FR0000121220;Sodexo
ML;FR0000121261;Michelin
HO;FR0000121329;Thales
KER;FR0000121485;Kering
UG;FR0000121501;Peugeot
RE;FR0000121634;Colas
EL;FR0000121667;EssilorLuxottica
SK;FR0000121709;Seb
AM;FR0000121725;Dassault Aviation
LI;FR0000121964;Klepierre
SU;FR0000121972;Schneider Electric
VIE;FR0000124141;Veolia Environ.
POM;FR0000124570;Plastic Omnium
SGO;FR0000125007;Saint Gobain
CAP;FR0000125338;CapGemini
ING;FR0000125346;Ingenico Group
DG;FR0000125486;Vinci
CO;FR0000125585;Casino Guichard
VIV;FR0000127771;Vivendi
MMB;FR0000130213;Lagardere
RCO;FR0000130395;Remy Cointreau
CDI;FR0000130403;Christian Dior
FGR;FR0000130452;Eiffage
PUB;FR0000130577;Publicis Groupe
DSY;FR0000130650;Dassault Systemes
GLE;FR0000130809;Societe Generale
BNP;FR0000131104;Bnp Paribas
ERA;FR0000131757;Eramet
RNO;FR0000131906;Renault
ORA;FR0000133308;Orange
ORP;FR0000184798;Orpea
ITP;FR0004024222;Interparfums
AMUN;FR0004125920;Amundi
AKA;FR0004180537;Akka Technologies
TRI;FR0005691656;Trigano
BVI;FR0006174348;Bureau Veritas
GFC;FR0010040865;Gecina Nom.
NXI;FR0010112524;Nexity
ENGI;FR0010208488;Engie
ALO;FR0010220475;Alstom
ETL;FR0010221234;Eutelsat Com.
MERY;FR0010241638;Mercialys
EDF;FR0010242511;EDF
IPN;FR0010259150;Ipsen
LR;FR0010307819;Legrand SA
AKE;FR0010313833;Arkema
ADP;FR0010340141;Adp
KORI;FR0010386334;Korian
TER;FR0010407049;Terreis
SCR;FR0010411983;Scor
RXL;FR0010451203;Rexel
ARG;FR0010481960;Argan
GET;FR0010533075;Getlink (ex: Eurotunnel)
SEV;FR0010613471;Suez Environnement
COFA;FR0010667147;Coface
CARM;FR0010828137;Carmila
EDEN;FR0010908533;Edenred
IDL;FR0010929125;ID Logistics
FNAC;FR0011476928;Fnac Darty
NEOEN;FR0011675362;Neoen
GTT;FR0011726835;GTT
ELIOR;FR0011950732;Elior Group
WLN;FR0011981968;Worldline
VLTSA;FR0011995588;Voltalia
ELIS;FR0012435121;Elis
SPIE;FR0012757854;Spie
DIM;FR0013154002;Sartorius Stedim Biotech
FR;FR0013176526;Valeo
CGG;FR0013181864;CGG
SO;FR0013199916;Somfy Intl
LOUP;FR0013204336;Ldc
SMCP;FR0013214145;Smcp
SOI;FR0013227113;Soitec Silicon
TKO;FR0013230612;Tikehau Capital
ALD;FR0013258662;Ald
RUI;FR0013269123;Rubis
BIM;FR0013280286;Biomerieux
URW;FR0013326246;Unibail Rodamco Wes
FDJ;FR0013451333;La Francaise des jeux - FDJ
HSB;GB0005405286;Hsbc Holdings
FTI;GB00BDSFG982;TechnipFMC
SESG;LU0088087324;SES Sa
BAIN;MC0000031187;Bains Mer Monaco
STM;NL0000226223;Stmicroelectronics
AIR;NL0000235190;Airbus
ENX;NL0006294274;Euronext
GNE;US3696041033;General Electric
;AT0000497268;Raiffeisen-EmergingMkts-Aktien VT
;AT0000712518;Raiffeisen-Euro-Corporate s A
;AT0000712534;RAIFFEISEN-EURO-CORPORATE S VT
;AT0000740642;RAIFFEISEN - OSTEUROPA RENT (D)
;AT0000740667;RAIFFEISEN - OSTEUROPA RENT (C)
;AT0000745856;Raiffeisen-Eurasien-Aktien A
;AT0000745872;RAIFFEISEN - EURASIA EQUITIES (C)
;AT0000765599;RAIFFEISEN - EUROPEAN HIGHYIELD (C)
;AT0000785241;RAIFFEISEN - EASTERN EUROPEAN EQUITIES (C)
;AT0000785308;RAIFFEISEN - EURO BOND (C)
;AT0000805445;EURO-RENT (R) T
;AT0000822606;EURO-SHORTTERM-RENT (R) T
;AT0000996681;Raiffeisen-Euro-Rent A
;AT0000A07FQ5;Raiffeisen-Russland-Aktien A
;AT0000A07FS1;RAIFFEISEN-RUSSLAND-AKTIEN VT
;AT0000A09ZJ4;Raiffeisen-Infrastruktur-Aktien A
;AT0000A09ZL0;RAIFFEISEN-INFRASTRUKTUR-AKTIEN VT
;AT0000A0EY50;Osteuropa-Aktien (I) VTA
;AT0000A0KRU1;Raiffeisen Global-Fundamental-Rent (I) VTA
;AT0000A0P7X4;RAIFFEISEN Global-Fundamental-Rent (R) VTA
;AT0000A0QQ64;Raiffeisenfonds-Konservativ (R) VTA
;AT0000A0SDZ3;Raiffeisen Global Allocation-StrategiesPlus (I) VT
;AT0000A0SE25;RAIFFEISEN GLOBAL ALLOCATION STRATEGIES PLUS (R)
;BE0057451271;DPAM INVEST B SA DPAM INVEST B EQUITIES EUROPE DIV
;BE0058179764;DPAM INVEST B SA DPAM INVEST B EQUITIES EUROPE B
;BE0058182792;DPAM INVEST B SA DPAM INVEST B EQUITIES EUROLAND B
;BE0058185829;DPAM INVEST B SA DPAM INVEST B EQUITIES EUROPE SMA
;BE0058187841;DPAM INVEST B SA REAL ESTATE EUROPE B
;BE0058191884;DPAM INVEST B SA DPAM INVEST B BONDS EUR SHORT TER
;BE0058652646;DPAM INVEST B SA DPAM INVEST B EQUITIES WORLD SUST
;BE0146935771;BNP PARIBAS B STRATEGY GLOBAL DEFENSIVE CLASSIC-DI
;BE0146937793;BNP PARIBAS B STRATEGY GLOBAL NEUTRAL CLASSIC-DIST
;BE0159412411;CANDRIAM SUSTAINABLE - LOW C (C)
;BE0163305544;BNP PARIBAS B STRATEGY GLOBAL DYNAMIC CLASSIC-DIST
;BE0169199313;CANDRIAM SUSTAINABLE - HIGH C (C)
;BE0170908918;CANDRIAM EQUITIES B - GLOBAL ENERGY C (C)
;BE0173540072;CANDRIAM SUSTAINABLE - EUROPE C (C)
;BE0173901779;CANDRIAM SUSTAINABLE - NORTH AMERICA C (C)
;BE0174191768;CANDRIAM SUSTAINABLE - PACIFIC C (C)
;BE0174812181;CANDRIAM EQUITIES B - GLOBAL FINANCE C (C)
;BE0940002729;DPAM INVEST B SA DPAM INVEST B EQUITIES EUROPE SUS
;BE0943336116;CANDRIAM SUSTAINABLE - EURO BONDS C (C)
;BE0943877671;DPAM INVEST B SA DPAM INVEST B BONDS EUR B
;BE0943879693;DPAM INVEST B SA DPAM INVEST B EQUITIES BELGIUM B
;BE0945319540;CANDRIAM SUSTAINABLE - NORTH AMERICA N (C)
;BE0945478197;CANDRIAM SUSTAINABLE - WORLD BONDS (C)
;BE0945490317;CANDRIAM SUSTAINABLE - EURO SHORT TERM BONDS C (C)
;BE0945492339;CANDRIAM SUSTAINABLE - EURO CORPORATE BONDS (D)
;BE0945493345;CANDRIAM SUSTAINABLE - EURO CORPORATE BONDS (C)
;BE0945516574;CANDRIAM EQUITIES B - EMERGING EUROPE C
;BE0945524651;CANDRIAM EQUITIES B - EUROPE C (C)
;BE0945530716;CANDRIAM EQUITIES B CHINA C (C)
;BE0946564383;DPAM INVEST B SA DPAM INVEST B EQUITIES NEWGEMS SU
;BE0946893766;CANDRIAM SUSTAINABLE - WORLD C (C)
;BE0947764743;DPAM INVEST B SA DPAM INVEST B EQUITIES SUSTAINABL
;DE0005933923;ISHARES MDAX UCITS ETF (DE)
;DE0005933931;ISHARES CORE DAX UCITS ETF (DE)
;DE0005933998;ISHARES STOXX EUROPE MID 200 UCITS ETF (DE)
;DE0008474156;DWS EUROPEAN OPPORTUNITIES (D)
;DE0008474263;DWS CONVERTIBLES (D)
;DE0008474289;DWS GERMAN EQUITIES TYP O (C)
;DE0008490723;MORGEN AKTIEN GLOBAL UI
;DE0008490954;DEUTSCHE NOMURA JAPAN GROWTH LC
;DE0008490962;DWS DEUTSCHLAND LC
;DE0009769851;DWS HEALTH CARE TYP O
