ticker;isin;name;issuer
BX4;FR0010411884;LYXOR ETF BX4;Lyxor
C4S;FR0010717124;AMUNDI ETF SH CAC;Amundi
SHC;FR0010591362;LYXOR ETF SHT CAC;Lyxor
C5S;FR0010757781;AMUNDI ETF SHT E50;Amundi
DSP5;LU1327051279;LYXOR 2XSHRT SP500;Lyxor
C2U;FR0010791194;AMUNDI ETF SHT USA;Amundi
OBLI;FR0013346681;LYXOR PEA OBLI;Lyxor
PANX;FR0013412269;AMUNDI PEA NASDAQ;Amundi
PUST;FR0011871110;LYXOR NSDQ 100 PEA;Lyxor
HLT;LU1834986900;LYXOR STX EU HLTHC;Lyxor
GMRC;LU1446552496;OSSIAM ETF GMARC C;Ossiam
PASI;FR0011871078;LYXOR HSCEI PEA;Lyxor
ESE;FR0011550185;BNPP SP500 EUR C;BNP Paribas
PSP5;FR0011871128;LYXOR SP500 PEA;Lyxor
PUSA;FR0011869346;LYXOR MSCI USA PEA;Lyxor
CU2;FR0010688275;AMUNDI ETF MSCI US;Amundi
PE500;FR0013412285;AMUNDI PEA SP500;Amundi
ISTM;LU1547514676;BNPP MUTB JAPAN;BNP Paribas
UTI;LU1834988864;LYXOR STX EU UTILI;Lyxor
STK;IE00BKWQ0K51;SPDR MSCI TECHNO;SPDR
STU;FR0000001646;SPDR MSCI UTIL;SPDR
TNO;LU1834988518;LYXOR STX EU TECH;Lyxor
CC1;FR0010713784;AMUNDI ETF MS CHN;Amundi
PTPXE;FR0013411980;AMUNDI PEA TOPIX;Amundi
PAASI;FR0013412012;AMUNDI PEA EM ASIA;Amundi
PJPN;FR0011871102;LYXOR TOPIX PEA;Lyxor
ESDD;FR0011550680;BNPP SP500 USD CD;BNP Paribas
ESD;FR0010618843;BNPP SP500 USD C;BNP Paribas
ESEH;FR0013041530;BNPP SP500 EURH C;BNP Paribas
P500H;FR0013412293;AMUNDI PEA SP500 H;Amundi
PHG;LU1834988351;LYXOR STX600 GOODS;Lyxor
PSPH;FR0011871136;LYXOR PEA SP5H EUR;Lyxor
CW8;LU1681043599;AMUNDI ETF MSCI WR;Amundi
EWLD;FR0011869353;LYXOR MSCI WOR PEA;Lyxor
MVAU;LU1646362167;LYXOR USA MIN VAR;Lyxor
PDJE;FR0011869270;LYXOR DJIA PEA;Lyxor
AWAT;FR0011882364;LYXOR W WATER PEA;Lyxor
EUMV;LU0599612842;OSSIAM ISTOXX EUMV;Ossiam
CHM;LU1834983634;LYXOR STX600 CHEMI;Lyxor
PAEJ;FR0011869312;LYXOR ASIP EXJ PEA;Lyxor
CH1;LU1681044217;AMUNDI ETF MSCI NL;Amundi
RTA;LU1834988435;LYXOR STX600 RTAIL;Lyxor
FOO;LU1834985845;LYXOR STX EU FO BE;Lyxor
SRIEC;LU1753045332;BNP MSCI EU SRI EC;BNP Paribas
PTPXH;FR0013411998;AMUNDI PEA TOPIX H;Amundi
PJPH;FR0011884121;LYXOR TOPIX DH PEA;Lyxor
SRIE;LU1753045415;BNP MSCI EU SRI ED;BNP Paribas
PKRW;FR0011869338;LYXOR KOREA PEA;Lyxor
EVOE;LU1377381717;BNPP LOW VOL EU;BNP Paribas
VLED;LU1481201025;BNPP EASY LWVOLEU;BNP Paribas
GWT;FR0010168765;LYXOR EMU GROWTH;Lyxor
LQQ;FR0010342592;LYXOR ETF NSDQ DL;Lyxor
QUED;LU1481201611;BNPP EASYQUALITYD;BNP Paribas
TEL;LU1834988609;LYXOR STX EU TELE;Lyxor
EQUA;LU1377382103;BNPP QUALITY EU;BNP Paribas
CAPE;LU1079842321;OSSIAM ETF CAPE EU;Ossiam
PAEEM;FR0013412020;AMUNDI PEA MSCI EM;Amundi
ECN;FR0010655597;BNPP EASY LOWCARB;BNP Paribas
EMOM;LU1377382012;BNPP MOMENTUM EU;BNP Paribas
PLEM;FR0011440478;LYXOR MSCI EM PEA;Lyxor
MOED;LU1481201538;BNPP MOMENTUMD;BNP Paribas
EEXU;LU1291100664;BNPP EU XUK ETF;BNP Paribas
ESM;FR0010900076;AMUNDI ETF E SM CP;Amundi
FIN;LU1834984798;LYXOR STX 600 FIN;Lyxor
MUSRI;LU1953137681;BNPP EMU SRI ETF;BNP Paribas
MVMU;LU1717044488;LYXOR EMU MIN VAR;Lyxor
ELOW;IE00BFTWP510;SPDR EURO LV;SPDR
STP;IE00BKWQ0L68;SPDR MSCI MAT;SPDR
CG1;FR0010655712;AMUNDI ETF DAX DR;Amundi
ETZD;FR0011550672;BNPP STOXX 600CD;BNP Paribas
ETZ;FR0011550193;BNPP STOXX 600C;BNP Paribas
EEUE;LU1291099718;BNPP EU ETF;BNP Paribas
